City ID,City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
134,Chiang Klang,TH,2021-12-21 09:23:50,19.2938,100.8617,83.53,36,41,1.54
135,Farafangana,MG,2021-12-21 09:23:51,-22.8167,47.8333,74.32,83,100,4.47
136,Cidreira,BR,2021-12-21 09:23:51,-30.1811,-50.2056,68.43,95,10,4.09
137,Floriano,BR,2021-12-21 09:23:51,-6.7669,-43.0225,75.65,86,99,1.61
138,Basco,PH,2021-12-21 09:23:52,20.4487,121.9702,78.22,87,36,19.13
139,Saskylakh,RU,2021-12-21 09:23:52,71.9167,114.0833,-21.15,99,80,5.66
140,Garissa,KE,2021-12-21 09:23:53,-0.4536,39.6401,85.19,62,99,8.5
141,Agadez,NE,2021-12-21 09:23:53,19.75,10.25,58.59,25,2,9.13
142,Sawtell,AU,2021-12-21 09:23:54,-30.3833,153.1,78.82,73,100,12.66
143,Pevek,RU,2021-12-21 09:23:54,69.7008,170.3133,-3.89,95,100,24.38
144,Nador,MA,2021-12-21 09:23:55,35.174,-2.9287,53.67,100,0,4.61
145,Ancud,CL,2021-12-21 09:23:55,-41.8697,-73.8203,49.42,85,6,1.07
146,Ocumare Del Tuy,VE,2021-12-21 09:23:56,10.1165,-66.7761,73.53,97,97,2.37
147,San Isidro,PE,2021-12-21 09:23:56,-12.1167,-77.05,67.01,89,90,6.91
148,Skjervoy,NO,2021-12-21 09:23:56,70.0311,20.9714,26.78,66,16,16.89
149,Saint-Philippe,RE,2021-12-21 09:23:57,-21.3585,55.7679,83.79,86,75,10.6
150,Barcelos,PT,2021-12-21 09:23:57,41.5388,-8.6151,60.48,91,72,7.2
151,Bengkulu,ID,2021-12-21 09:23:58,-3.8004,102.2655,83.12,69,75,7.2
152,Glendive,US,2021-12-21 09:23:58,47.1053,-104.7125,20.03,81,90,29.93
153,Tabou,CI,2021-12-21 09:23:59,4.423,-7.3528,81.64,72,77,4.52
154,Yellowknife,CA,2021-12-21 09:23:59,62.456,-114.3525,-26.88,75,90,8.05
155,Esperance,AU,2021-12-21 09:24:00,-33.8667,121.9,71.44,71,99,19.89
156,Blackwater,AU,2021-12-21 09:24:00,-23.5833,148.8833,86.99,36,2,17.65
157,Bartica,GY,2021-12-21 09:24:01,6.4,-58.6167,73.72,100,89,1.14
158,Prince Rupert,CA,2021-12-21 09:20:10,54.3161,-130.3201,31.69,84,90,4.61
159,Tuatapere,NZ,2021-12-21 09:24:01,-46.1333,167.6833,59.83,65,14,8.61
160,Te Anau,NZ,2021-12-21 09:24:02,-45.4167,167.7167,52.2,77,36,7.7
161,Mount Gambier,AU,2021-12-21 09:24:02,-37.8333,140.7667,60.71,77,90,10.36
162,Tiksi,RU,2021-12-21 09:24:03,71.6872,128.8694,-14.57,97,100,9.13
163,Mar Del Plata,AR,2021-12-21 09:21:23,-38.0023,-57.5575,68.09,87,90,3.44
164,Mount Isa,AU,2021-12-21 09:24:03,-20.7333,139.5,87.57,37,42,9.22
165,Airai,TL,2021-12-21 09:24:04,-8.9266,125.4092,66.07,91,100,1.34
166,Tomatlan,MX,2021-12-21 09:24:04,19.9333,-105.25,65.07,51,96,3.09
167,Purpe,RU,2021-12-21 09:24:05,64.4803,76.6897,-6.9,88,100,17.31
168,Umm Kaddadah,SD,2021-12-21 09:24:05,13.6017,26.6876,71.83,19,3,19.89
169,Chokurdakh,RU,2021-12-21 09:24:05,70.6333,147.9167,-11.36,97,100,10.22
170,Ostersund,SE,2021-12-21 09:24:06,63.1792,14.6357,14.61,92,0,8.05
171,Husavik,IS,2021-12-21 09:24:06,66.0449,-17.3389,24.71,84,9,2.35
172,Boddam,GB,2021-12-21 09:24:07,57.4667,-1.7833,34.18,79,87,6.44
173,Manggar,ID,2021-12-21 09:24:07,-2.8833,108.2667,79.81,81,100,2.62
174,Puerto Carreno,CO,2021-12-21 09:24:07,6.189,-67.4859,77.16,79,98,10.0
175,Mandali,IQ,2021-12-21 09:24:08,33.7499,45.5541,58.08,38,0,3.94
176,Ust-Nera,RU,2021-12-21 09:24:08,64.5667,143.2,-41.69,100,96,2.24
177,Natitingou,BJ,2021-12-21 09:24:09,10.3042,1.3796,75.25,19,3,12.06
178,Oxford,GB,2021-12-21 09:20:52,51.7522,-1.256,41.5,91,90,5.75
179,Oksfjord,NO,2021-12-21 09:24:09,70.2396,22.3479,26.78,88,38,10.89
180,Karpogory,RU,2021-12-21 09:24:10,64.0019,44.4451,-1.89,97,96,5.61
181,Hualmay,PE,2021-12-21 09:24:10,-11.0964,-77.6139,66.06,87,6,7.74
182,Waipawa,NZ,2021-12-21 09:24:10,-41.4122,175.5153,61.43,74,0,19.44
183,Lar,IN,2021-12-21 09:24:11,26.2039,83.9717,72.55,22,6,5.28
184,Henties Bay,NA,2021-12-21 09:24:11,-22.116,14.2845,68.86,65,3,8.3
185,Tias,ES,2021-12-21 09:24:12,28.9611,-13.645,65.95,88,0,2.3
186,Veraval,IN,2021-12-21 09:24:12,20.9,70.3667,78.26,26,7,6.06
187,Broome,US,2021-12-21 09:24:13,42.2506,-75.833,33.91,81,75,3.0
188,Maridi,SS,2021-12-21 09:24:13,4.9158,29.4742,87.93,24,83,9.93
189,Tecoanapa,MX,2021-12-21 09:24:14,16.5167,-98.75,74.52,84,11,3.22
190,Vagur,FO,2021-12-21 09:24:14,61.4732,-6.8119,44.64,75,100,10.47
191,Isangel,VU,2021-12-21 09:24:14,-19.55,169.2667,82.51,83,75,2.3
192,Amantea,IT,2021-12-21 09:24:15,39.1332,16.0746,51.85,75,84,5.3
193,Jaguaquara,BR,2021-12-21 09:24:15,-13.5306,-39.9708,65.5,98,100,1.72
194,Zaysan,KZ,2021-12-21 09:24:16,47.4667,84.8667,27.97,97,98,1.57
195,Corrente,BR,2021-12-21 09:24:16,-3.7367,-43.3394,73.06,98,80,1.01
196,Adrar,MR,2021-12-21 09:24:16,20.5022,-10.0711,70.97,26,100,4.5
197,Fortuna,US,2021-12-21 09:24:17,40.5982,-124.1573,56.32,58,90,23.02
198,Nikki,BJ,2021-12-21 09:24:17,9.9401,3.2108,78.12,20,25,9.17
199,Uchiza,PE,2021-12-21 09:24:18,-8.4592,-76.4633,71.13,97,74,1.25
200,Nome,US,2021-12-21 09:23:12,64.5011,-165.4064,-6.97,95,5,3.94
201,Shieli,KZ,2021-12-21 09:24:18,44.1667,66.75,57.43,41,6,15.39
202,Manthani,IN,2021-12-21 09:24:19,18.65,79.6667,77.72,17,2,3.98
203,Thiruvananthapuram,IN,2021-12-21 09:20:29,8.4833,76.9167,87.78,70,20,5.75
204,Chuy,UY,2021-12-21 09:24:19,-33.6971,-53.4616,65.28,91,29,4.45
205,Cap-Aux-Meules,CA,2021-12-21 09:24:20,47.3821,-61.8597,28.42,59,100,16.11
206,Kahului,US,2021-12-21 09:24:20,20.8947,-156.47,72.84,88,40,17.27
